timestamp,date_time,is_ppg,green,red,infra_red
1708340527329,1708340527329,1,213372,62100,78720
1708340527352,1708340527352,1,213242,62153,78844
1708340527367,1708340527367,1,213342,62201,78973
1708340527389,1708340527389,1,213410,62236,79077
1708340527412,1708340527412,1,213544,62296,79219
1708340527434,1708340527434,1,213640,62318,79291
1708340527456,1708340527456,1,213749,62342,79350
1708340527479,1708340527479,1,213764,62247,79162
1708340527501,1708340527501,1,213096,62019,78593
1708340528334,1708340528334,1,213048,62057,78709
1708340528356,1708340528356,1,213121,62095,78794
1708340528379,1708340528379,1,213132,62117,78863
1708340528401,1708340528401,1,213250,62179,79018
1708340528416,1708340528416,1,213345,62215,79108
1708340528439,1708340528439,1,213462,62249,79199
1708340528462,1708340528462,1,213413,62110,78889
1708340528485,1708340528485,1,212662,61956,78486
1708340528507,1708340528507,1,212566,62019,78635
1708340529340,1708340529340,1,212576,62023,78647
1708340529361,1708340529361,1,212645,62063,78764
1708340529384,1708340529384,1,212821,62151,78977
1708340529406,1708340529406,1,212969,62195,79080
1708340529428,1708340529428,1,213113,62224,79165
1708340529429,1708340529429,1,213132,62231,79191
1708340529452,1708340529452,1,213171,62213,79154
1708340529474,1708340529474,1,212454,61929,78468
1708340529489,1708340529489,1,212300,61982,78600
1708340529512,1708340529512,1,212298,61989,78627
1708340530351,1708340530351,1,212299,61997,78666
1708340530374,1708340530374,1,212457,62086,78870
1708340530396,1708340530396,1,212589,62124,78967
1708340530411,1708340530411,1,212724,62178,79088
1708340530434,1708340530434,1,212670,62013,78727
1708340530456,1708340530456,1,211998,61915,78476
1708340530479,1708340530479,1,212080,62000,78686
1708340530501,1708340530501,1,212106,62003,78715
1708340530525,1708340530525,1,212230,62072,78882
1708340531364,1708340531364,1,212283,62093,78933
1708340531379,1708340531379,1,212457,62141,79048
1708340531401,1708340531401,1,212561,62129,79046
1708340531424,1708340531424,1,211570,61816,78305
1708340531446,1708340531446,1,211257,61869,78436
1708340531468,1708340531468,1,211253,61880,78478
1708340531491,1708340531491,1,211324,61941,78614
1708340531513,1708340531513,1,211469,61992,78762
1708340531528,1708340531528,1,211617,62040,78869
1708340532369,1708340532369,1,211717,62062,78942
1708340532391,1708340532391,1,211685,61911,78614
1708340532414,1708340532414,1,210347,61714,78129
1708340532428,1708340532428,1,209929,61751,78242
1708340532429,1708340532429,1,209841,61755,78258
1708340532453,1708340532453,1,209792,61753,78260
1708340532474,1708340532474,1,209883,61821,78433
1708340532496,1708340532496,1,210053,61878,78579
1708340532519,1708340532519,1,210223,61914,78676
1708340532541,1708340532541,1,210421,61968,78820
1708340533374,1708340533374,1,210447,61932,78747
1708340533396,1708340533396,1,209332,61650,78070
1708340533420,1708340533420,1,208899,61697,78190
1708340533442,1708340533442,1,208921,61712,78247
1708340533464,1708340533464,1,208981,61761,78368
1708340533487,1708340533487,1,209205,61835,78568
1708340533510,1708340533510,1,209399,61872,78665
1708340533524,1708340533524,1,209603,61915,78790
1708340533547,1708340533547,1,209337,61662,78197
1708340534386,1708340534386,1,208873,61610,78056
1708340534409,1708340534409,1,208297,61635,78146
1708340534424,1708340534424,1,208316,61669,78223
1708340534447,1708340534447,1,208399,61711,78330
1708340534469,1708340534469,1,208644,61796,78558
1708340534492,1708340534492,1,208856,61830,78655
1708340534514,1708340534514,1,209069,61872,78776
1708340534537,1708340534537,1,209099,61704,78400
1708340534560,1708340534560,1,208330,61611,78149
1708340535391,1708340535391,1,208348,61640,78240
1708340535413,1708340535413,1,208504,61690,78370
1708340535414,1708340535414,1,208523,61682,78374
1708340535436,1708340535436,1,208612,61720,78464
1708340535459,1708340535459,1,208798,61775,78617
1708340535481,1708340535481,1,209040,61835,78769
1708340535504,1708340535504,1,209281,61857,78847
1708340535526,1708340535526,1,208552,61562,78140
1708340535527,1708340535527,1,208356,61558,78128
1708340535549,1708340535549,1,208341,61613,78277
1708340535565,1708340535565,1,208473,61647,78378
1708340536396,1708340536396,1,208580,61683,78478
1708340536418,1708340536418,1,208829,61764,78673
1708340536441,1708340536441,1,209050,61819,78817
1708340536465,1708340536465,1,209164,61735,78651
1708340536487,1708340536487,1,208484,61558,78222
1708340536509,1708340536509,1,208515,61642,78426
1708340536525,1708340536525,1,208627,61666,78494
1708340536547,1708340536547,1,208850,61755,78725
1708340536569,1708340536569,1,209093,61813,78877
1708340537409,1708340537409,1,209176,61828,78911
1708340537431,1708340537431,1,209361,61865,78995
1708340537446,1708340537446,1,208967,61563,78312
1708340537470,1708340537470,1,208439,61565,78319
1708340537492,1708340537492,1,208628,61652,78535
1708340537514,1708340537514,1,208717,61684,78598
1708340537537,1708340537537,1,208929,61755,78804
1708340537559,1708340537559,1,209142,61807,78939
