timestamp,date_time,is_ppg,green,red,infra_red
1708516801987,1708516801987,1,186143,58414,72245
1708516802027,1708516802027,1,185950,58411,72241
1708516802067,1708516802067,1,185869,58415,72247
1708516802107,1708516802107,1,185846,58417,72254
1708516802147,1708516802147,1,185812,58409,72255
1708516802187,1708516802187,1,185756,58414,72234
1708516802227,1708516802227,1,185736,58415,72240
1708516802267,1708516802267,1,185755,58419,72257
1708516802307,1708516802307,1,185827,58427,72275
1708516802347,1708516802347,1,185927,58439,72291
1708516802387,1708516802387,1,186055,58445,72311
1708516802427,1708516802427,1,186194,58454,72335
1708516802467,1708516802467,1,186334,58460,72353
1708516802507,1708516802507,1,186471,58476,72378
1708516802547,1708516802547,1,186618,58482,72402
1708516802587,1708516802587,1,186768,58492,72424
1708516802627,1708516802627,1,186948,58501,72449
1708516802667,1708516802667,1,187131,58510,72468
1708516802707,1708516802707,1,187235,58488,72437
1708516802747,1708516802747,1,187003,58439,72335
1708516802787,1708516802787,1,186536,58407,72243
1708516802827,1708516802827,1,186104,58393,72200
1708516802867,1708516802867,1,185822,58388,72182
1708516802907,1708516802907,1,185663,58388,72188
1708516802947,1708516802947,1,185624,58397,72201
1708516802987,1708516802987,1,185597,58402,72211
1708516803027,1708516803027,1,185534,58402,72206
1708516803067,1708516803067,1,185488,58400,72213
1708516803107,1708516803107,1,185466,58406,72220
1708516803147,1708516803147,1,185500,58413,72237
1708516803187,1708516803187,1,185576,58424,72252
1708516803227,1708516803227,1,185688,58427,72272
1708516803267,1708516803267,1,185801,58436,72286
1708516803307,1708516803307,1,185919,58444,72312
1708516803347,1708516803347,1,186052,58454,72338
1708516803387,1708516803387,1,186171,58461,72348
1708516803427,1708516803427,1,186319,58467,72370
1708516803467,1708516803467,1,186469,58480,72401
1708516803507,1708516803507,1,186604,58481,72407
1708516803547,1708516803547,1,186515,58453,72342
1708516803587,1708516803587,1,186080,58419,72248
1708516803627,1708516803627,1,185558,58394,72187
1708516803667,1708516803667,1,185156,58391,72164
1708516803707,1708516803707,1,184903,58383,72145
1708516803747,1708516803747,1,184790,58387,72147
1708516803787,1708516803787,1,184757,58388,72159
1708516803827,1708516803827,1,184708,58385,72152
1708516803867,1708516803867,1,184659,58387,72149
1708516803907,1708516803907,1,184618,58382,72142
1708516803947,1708516803947,1,184640,58387,72159
1708516803997,1708516803997,1,184718,58395,72174
1708516804035,1708516804035,1,184813,58397,72192
1708516804073,1708516804073,1,184922,58394,72203
1708516804111,1708516804111,1,185057,58406,72221
1708516804149,1708516804149,1,185192,58426,72257
1708516804187,1708516804187,1,185332,58434,72283
1708516804225,1708516804225,1,185483,58444,72313
1708516804263,1708516804263,1,185645,58454,72342
1708516804301,1708516804301,1,185815,58459,72364
1708516804339,1708516804339,1,185954,58458,72366
1708516804377,1708516804377,1,185808,58433,72295
1708516804415,1708516804415,1,185331,58398,72211
1708516804453,1708516804453,1,184829,58377,72158
1708516804491,1708516804491,1,184471,58368,72133
1708516804529,1708516804529,1,184257,58371,72133
1708516804567,1708516804567,1,184179,58379,72154
1708516804605,1708516804605,1,184181,58384,72167
1708516804643,1708516804643,1,184167,58390,72173
1708516804681,1708516804681,1,184141,58390,72171
1708516804719,1708516804719,1,184149,58392,72182
1708516804757,1708516804757,1,184218,58402,72200
1708516804795,1708516804795,1,184315,58408,72220
1708516804833,1708516804833,1,184449,58415,72249
1708516804871,1708516804871,1,184606,58422,72271
1708516804909,1708516804909,1,184766,58434,72290
1708516804947,1708516804947,1,184917,58438,72308
1708516804987,1708516804987,1,185089,58447,72337
1708516805027,1708516805027,1,185267,58456,72363
1708516805067,1708516805067,1,185436,58465,72387
1708516805107,1708516805107,1,185631,58469,72409
1708516805147,1708516805147,1,185811,58474,72424
1708516805187,1708516805187,1,185797,58451,72376
1708516805227,1708516805227,1,185418,58420,72295
1708516805267,1708516805267,1,184923,58400,72242
1708516805307,1708516805307,1,184563,58391,72221
1708516805347,1708516805347,1,184353,58392,72213
1708516805387,1708516805387,1,184272,58395,72224
1708516805427,1708516805427,1,184274,58398,72232
1708516805467,1708516805467,1,184280,58400,72237
1708516805507,1708516805507,1,184277,58406,72244
1708516805547,1708516805547,1,184289,58414,72257
1708516805587,1708516805587,1,184348,58417,72277
1708516805627,1708516805627,1,184453,58424,72294
1708516805667,1708516805667,1,184584,58426,72326
1708516805707,1708516805707,1,184730,58438,72338
1708516805747,1708516805747,1,184887,58446,72364
1708516805787,1708516805787,1,185044,58458,72391
1708516805827,1708516805827,1,185205,58463,72405
1708516805867,1708516805867,1,185363,58464,72425
1708516805907,1708516805907,1,185545,58476,72445
1708516805947,1708516805947,1,185728,58488,72470
1708516805987,1708516805987,1,185720,58466,72430
1708516806027,1708516806027,1,185369,58432,72349
1708516806067,1708516806067,1,184907,58422,72309
1708516806107,1708516806107,1,184612,58413,72292
1708516806147,1708516806147,1,184452,58411,72289
1708516806187,1708516806187,1,184422,58421,72307
1708516806227,1708516806227,1,184459,58424,72322
1708516806267,1708516806267,1,184488,58423,72327
1708516806307,1708516806307,1,184501,58413,72316
1708516806347,1708516806347,1,184513,58413,72314
1708516806387,1708516806387,1,184570,58418,72332
1708516806427,1708516806427,1,184670,58423,72350
1708516806467,1708516806467,1,184802,58433,72373
1708516806507,1708516806507,1,184961,58442,72389
1708516806547,1708516806547,1,185124,58447,72418
1708516806587,1708516806587,1,185284,58458,72432
